"","sequence_ID","sample_ID","sequencing_ID","sample_type","organism_water","number","time_point","date","lake","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","phy_group","elev.cat","read.sum"
"57","150_16S","15_Z22","MP_66_16S","Zooplankton","Calanoid",50,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"copepoda","Above",5243
"58","151_16S","93_Z","MP_67_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"copepoda","Above",5630
"59","153_16S","18_Z","MP_69_16S","Zooplankton","Cyclopoid",50,"2","2022-07-09","Blue",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"copepoda","Above",53402
"60","156_16S","39_Z22","MP_72_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"cladocera","Above",25362
"61","157_16S","48_Z","MP_73_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",661
"62","158_16S","62_Z","MP_74_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Blue",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"copepoda","Above",219
"63","159_16S","6_Z","MP_75_16S","Zooplankton","Calanoid",50,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"copepoda","Above",4844
"64","160_16S","40_Z","MP_77_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"cladocera","Above",185
"65","162_16S","41_Z22","MP_79_16S","Zooplankton","Daphnia",100,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"cladocera","Above",5927
"66","163_16S","36_Z22","MP_80_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"cladocera","Above",9147
"67","164_16S","43_Z22","MP_81_16S","Zooplankton","Cyclopoid",50,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"copepoda","Above",3640
"68","166_16S","27_Z22","MP_83_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Cooney",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"cladocera","Above",12332
"69","167_16S","45_Z","MP_84_16S","Zooplankton","Calanoid",50,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"copepoda","Above",18747
"70","168_16S","50_Z22","MP_85_16S","Zooplankton","Calanoid",50,"1","2022-06-26","Serene",3124,14.4,1.31,6.96,69.5,17.6,14,2.7,211.83,10.84,"copepoda","Above",138947
"71","169_16S","21_Z22","MP_86_16S","Zooplankton","Calanoid",50,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"copepoda","Above",6584
"72","17_16S","40_Z22","MP_87_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"cladocera","Above",2047
"73","170_16S","5_Z","MP_88_16S","Zooplankton","Calanoid",50,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"copepoda","Above",17034
"74","171_16S","52_Z22","MP_89_16S","Zooplankton","Calanoid",50,"1","2022-06-26","Serene",3124,14.4,1.31,6.96,69.5,17.6,14,2.7,211.83,10.84,"copepoda","Above",6449
"75","172_16S","76_Z","MP_90_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"copepoda","Below",120
"76","173_16S","44_Z22","MP_91_16S","Zooplankton","Cyclopoid",50,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"copepoda","Above",1752
"77","174_16S","17_Z","MP_92_16S","Zooplankton","Calanoid",50,"2","2022-07-07","Convict",2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33,"copepoda","Below",990
"78","175_16S","8_Z","MP_93_16S","Zooplankton","Calanoid",50,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"copepoda","Above",30728
"79","176_16S","53_Z","MP_94_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",12523
"80","177_16S","32_Z","MP_95_16S","Zooplankton","Cyclopoid",50,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"copepoda","Above",6005
"81","179_16S","2_Z","MP_97_16S","Zooplankton","Daphnia",30,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"cladocera","Above",2918
"82","18_16S","38_Z22","MP_98_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"cladocera","Above",182942
"83","180_16S","100_Z","MP_99_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"cladocera","Above",2994
"84","181_16S","84_Z","MP_100_16S","Zooplankton","Bosmina",50,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"cladocera","Below",157
"85","182_16S","10_Z22","MP_101_16S","Zooplankton","Daphnia",20,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"cladocera","Below",1363
"86","183_16S","116_Z","MP_102_16S","Zooplankton","Large Calanoid",10,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"copepoda","Above",3568
"87","184_16S","102_Z","MP_103_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"cladocera","Above",890
"88","187_16S","113_Z","MP_106_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"copepoda","Above",188296
"89","188_16S","90_Z","MP_107_16S","Zooplankton","Daphnia",30,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"cladocera","Above",2201
